"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","ALCOHOLTYPE","Display Value","Numeric","Low","High","Comments"
"SA_0000001400","GISAHNER","PUBLISHED","2009","AFR","NER","SA_TOTAL","0.11","0.11000","","",""
"SA_0000001400","GISAHSUR","PUBLISHED","2006","AMR","SUR","SA_BEER","1.64","1.64000","","",""
"SA_0000001400","GISAHGBR","PUBLISHED","2007","EUR","GBR","SA_BEER","4.45","4.45000","","",""
"SA_0000001400","GISAHCRI","PUBLISHED","2004","AMR","CRI","SA_WINE","0.14","0.14000","","",""
"SA_0000001400","GISAHPAK","PUBLISHED","2004","EMR","PAK","SA_BEER","0.00","0.00000","","",""
"SA_0000001400","GISAHBLZ","PUBLISHED","2014","AMR","BLZ","SA_WINE","0.20","0.20000","","",""
"SA_0000001400","GISAHCOM","PUBLISHED","2007","AFR","COM","SA_TOTAL","0.16","0.16000","","",""
"SA_0000001400","GISAHIRN","PUBLISHED","2001","EMR","IRN","SA_OTHER_ALCOHOL","0.00","0.00000","","",""
"SA_0000001400","GISAHDEU","PUBLISHED","2003","EUR","DEU","SA_BEER","6.43","6.43000","","",""
"SA_0000001400","GISAHBFA","PUBLISHED","2001","AFR","BFA","SA_BEER","0.39","0.39000","","",""
"SA_0000001400","GISAHQAT","PUBLISHED","2001","EMR","QAT","SA_SPIRITS","0.58","0.58000","","",""
"SA_0000001400","GISAHSGP","PUBLISHED","2011","WPR","SGP","SA_TOTAL","1.80","1.80000","","",""
"SA_0000001400","GISAHJPN","PUBLISHED","2001","WPR","JPN","SA_OTHER_ALCOHOL","2.48","2.48000","","",""
"SA_0000001400","GISAHBGR","PUBLISHED","2010","EUR","BGR","SA_WINE","1.73","1.73000","","",""
"SA_0000001400","GISAHATG","PUBLISHED","2008","AMR","ATG","SA_BEER","3.00","3.00000","","",""
"SA_0000001400","GISAHMOZ","PUBLISHED","2007","AFR","MOZ","SA_TOTAL","1.03","1.03000","","",""
"SA_0000001400","GISAHVCT","PUBLISHED","2012","AMR","VCT","SA_SPIRITS","4.14","4.14000","","",""
"SA_0000001400","GISAHFJI","PUBLISHED","2008","WPR","FJI","SA_SPIRITS","0.58","0.58000","","",""
"SA_0000001400","GISAHFJI","PUBLISHED","2003","WPR","FJI","SA_WINE","0.01","0.01000","","",""
"SA_0000001400","GISAHHND","PUBLISHED","2007","AMR","HND","SA_SPIRITS","1.85","1.85000","","",""
"SA_0000001400","GISAHMNE","PUBLISHED","2010","EUR","MNE","SA_TOTAL","6.56","6.56000","","",""
"SA_0000001400","GISAHGRD","PUBLISHED","2007","AMR","GRD","SA_OTHER_ALCOHOL","0.24","0.24000","","",""
"SA_0000001400","GISAHNAM","PUBLISHED","2001","AFR","NAM","SA_BEER","3.43","3.43000","","",""
"SA_0000001400","GISAHBOL","PUBLISHED","2004","AMR","BOL","SA_SPIRITS","0.56","0.56000","","",""
"SA_0000001400","GISAHIRL","PUBLISHED","2011","EUR","IRL","SA_TOTAL","11.72","11.72000","","",""
"SA_0000001400","GISAHCZE","PUBLISHED","2001","EUR","CZE","SA_SPIRITS","3.94","3.94000","","",""
"SA_0000001400","GISAHAUT","PUBLISHED","2002","EUR","AUT","SA_TOTAL","12.50","12.50000","","",""
"SA_0000001400","GISAHBGD","PUBLISHED","2000","SEAR","BGD","SA_OTHER_ALCOHOL","0.00","0.00000","","",""
"SA_0000001400","GISAHTJK","PUBLISHED","2007","EUR","TJK","SA_TOTAL","0.35","0.35000","","",""
"SA_0000001400","GISAHITA","PUBLISHED","2001","EUR","ITA","SA_BEER","1.69","1.69000","","",""
"SA_0000001400","GISAHCPV","PUBLISHED","2003","AFR","CPV","SA_TOTAL","4.16","4.16000","","",""
"SA_0000001400","GISAHMEX","PUBLISHED","2012","AMR","MEX","SA_TOTAL","5.29","5.29000","","",""
"SA_0000001400","GISAHMLT","PUBLISHED","2003","EUR","MLT","SA_WINE","3.08","3.08000","","",""
"SA_0000001400","GISAHSOM","PUBLISHED","2001","EMR","SOM","SA_WINE","0.00","0.00000","","",""
"SA_0000001400","GISAHESP","PUBLISHED","2013","EUR","ESP","SA_TOTAL","9.25","9.25000","","",""
"SA_0000001400","GISAHBLR","PUBLISHED","2004","EUR","BLR","SA_TOTAL","12.05","12.05000","","",""
"SA_0000001400","GISAHPRY","PUBLISHED","2002","AMR","PRY","SA_OTHER_ALCOHOL","0.06","0.06000","","",""
"SA_0000001400","GISAHLTU","PUBLISHED","2009","EUR","LTU","SA_BEER","5.40","5.40000","","",""
"SA_0000001400","GISAHKNA","PUBLISHED","2010","AMR","KNA","SA_OTHER_ALCOHOL","0.20","0.20000","","",""
"SA_0000001400","GISAHGBR","PUBLISHED","2011","EUR","GBR","SA_TOTAL","10.68","10.68000","","",""
"SA_0000001400","GISAHKEN","PUBLISHED","2001","AFR","KEN","SA_WINE","0.02","0.02000","","",""
